location_id,Submitted_Time,Processing_Time,Requesting_Time,Accepted_Time,Arrived_Time,Delivery_Time,Time_Till_Driver_Needed,Time_Till_Driver_Back,Total
5,59.7277,410.6368,45.5619,221.0577,157.4489,431.1668,470.3645,809.6734,1325.5998
10,141.8073,451.3438,28.9219,288.0260,104.8438,471.0729,593.1511,863.9427,1486.0157
11,39.6196,1067.3036,33.4238,206.3886,120.0832,558.6260,1106.9232,885.0978,2025.4448
12,174.2421,489.4140,33.9509,251.7263,127.5333,503.6947,663.6561,882.9543,1580.5613
13,44.0224,278.0784,26.9104,232.7799,89.3321,539.9067,322.1008,862.0187,1211.0299
14,94.9245,902.6858,29.5952,348.0151,111.6133,614.5347,997.6103,1074.1631,2101.3686
15,108.8840,805.0525,30.3840,350.6989,114.8564,602.1271,913.9365,1067.6824,2012.0029
16,101.7585,1213.1051,24.1563,236.1932,132.5085,603.6648,1314.8636,972.3665,2311.3864
17,103.3824,406.3382,45.3971,344.1324,136.8676,605.5147,509.7206,1086.5147,1641.6324
18,115.2289,456.3735,14.0000,281.3494,178.2048,620.2651,571.6024,1079.8193,1665.4217
23,25.3899,1054.5487,23.0975,281.8231,68.2996,565.8303,1079.9386,915.9530,2018.9891
24,145.7774,844.7208,35.8693,295.1519,154.4099,666.7138,990.4982,1116.2756,2142.6431
25,169.2842,831.1056,34.9709,339.7814,121.4718,628.8124,1000.3898,1090.0656,2125.4263
26,63.4461,1022.0718,29.8998,301.5822,111.1361,573.2023,1085.5179,985.9206,2101.3383
27,45.1506,296.0843,33.9759,311.1205,78.9428,584.6235,341.2349,974.6868,1349.8976
28,72.6788,1079.3833,38.3983,316.3683,173.4026,548.9722,1152.0621,1038.7431,2229.2035
29,27.3951,294.9954,28.8025,248.1991,112.6049,486.6953,322.3905,847.4993,1198.6923
32,18.8563,665.0928,37.8473,309.3144,82.1737,547.1527,683.9491,938.6408,1660.4372
34,41.5150,905.6844,32.6346,237.6993,121.8555,497.4086,947.1994,856.9634,1836.7974
35,31.1328,724.3797,30.4454,207.2779,108.8139,556.4715,755.5125,872.5633,1658.5212
36,60.8971,588.2535,39.1515,209.8326,99.2292,504.0599,649.1506,813.1217,1501.4238
37,28.5282,567.3615,40.6033,234.1174,92.9202,565.3005,595.8897,892.3381,1528.8311
38,41.7864,612.7670,73.9126,380.3398,176.4272,646.1942,654.5534,1202.9612,1931.4272
39,43.4414,190.8426,71.1944,327.4043,164.7870,533.5247,234.2840,1025.7160,1331.1944
40,65.1772,739.0422,48.3586,268.4135,150.5696,563.2743,804.2194,982.2574,1834.8354
41,78.0000,449.9518,48.3344,297.8135,145.5627,519.1158,527.9518,962.4920,1538.7782
42,75.1483,321.3509,43.5512,353.4526,97.8586,626.4931,396.4992,1077.8043,1517.8547
43,251.1961,447.6275,76.8431,300.5882,169.3725,510.4314,698.8236,980.3921,1756.0588
44,149.1684,910.5827,28.6616,276.1700,155.4917,581.6434,1059.7511,1013.3051,2101.7178
45,110.5153,348.9074,32.8611,341.0916,87.1507,612.3803,459.4227,1040.6226,1532.9064
47,158.9285,869.1446,40.1416,337.7541,98.9210,615.0119,1028.0731,1051.6870,2119.9017
49,108.9091,71.4909,38.0000,354.8182,91.7091,566.6182,180.4000,1013.1455,1231.5455
50,331.3469,268.0204,27.2449,308.5714,147.8367,558.0408,599.3673,1014.4489,1641.0611
52,153.2564,99.6667,94.0000,370.4103,142.9487,777.0769,252.9231,1290.4359,1637.3590
54,182.4091,175.0455,25.8636,199.0000,121.4545,449.5909,357.4546,770.0454,1153.3636
56,49.1877,112.3109,24.3109,250.7830,185.4370,621.2610,161.4986,1057.4810,1243.2905
59,56.8519,457.8889,39.4815,467.7407,78.3333,734.2963,514.7408,1280.3703,1834.5926
60,48.0000,487.0000,13.0000,146.0000,524.0000,480.0000,535.0000,1150.0000,1698.0000
62,189.0000,746.0000,63.0000,717.0000,91.0000,1004.0000,935.0000,1812.0000,2810.0000
63,48.0000,441.0000,78.0000,353.0000,288.0000,264.0000,489.0000,905.0000,1472.0000
64,656.0000,193.0000,7.0000,568.0000,73.0000,429.0000,849.0000,1070.0000,1926.0000
65,19.5000,646.5000,29.5000,268.5000,29.5000,585.0000,666.0000,883.0000,1578.5000
68,58.0000,230.0000,18.0000,313.0000,116.0000,550.0000,288.0000,979.0000,1285.0000
71,149.0000,285.5000,41.5000,268.5000,168.0000,1271.5000,434.5000,1708.0000,2184.0000
72,66.0000,1338.0000,64.0000,293.0000,31.0000,556.0000,1404.0000,880.0000,2348.0000
73,61.5000,368.0000,44.0000,376.5000,73.5000,488.0000,429.5000,938.0000,1411.5000
74,168.0000,148.0000,80.0000,266.0000,694.0000,437.0000,316.0000,1397.0000,1793.0000
75,461.5000,91.5000,17.5000,718.5000,79.5000,200.0000,553.0000,998.0000,1568.5000
-1,114.4473,550.0657,39.2970,316.1456,141.2482,571.9848,664.5130,1029.3785,1733.1886
